lender,date,segment,ltv_max,fix_years,rate,fee,code
Nationwide,2026-09-15,Remortgage for New Borrowers,90,2,5.49,999,206770
Nationwide,2026-09-15,Remortgage for New Borrowers,90,2,5.68,0,207001
Nationwide,2026-09-15,Remortgage for New Borrowers,90,3,5.47,999,206820
Nationwide,2026-09-15,Remortgage for New Borrowers,90,3,5.69,0,207035
Nationwide,2026-09-15,Remortgage for New Borrowers,90,5,5.35,1499,206906
Nationwide,2026-09-15,Remortgage for New Borrowers,90,5,5.4,999,206898
Nationwide,2026-09-15,Remortgage for New Borrowers,90,5,5.48,0,207103
Nationwide,2026-09-15,Remortgage for New Borrowers,90,10,5.84,999,206955
Nationwide,2026-09-15,Remortgage for New Borrowers,90,10,5.94,0,207151
Nationwide,2026-09-15,Remortgage for New Borrowers,95,2,5.59,1499,206779
Nationwide,2026-09-15,Remortgage for New Borrowers,95,2,5.64,999,206771
Nationwide,2026-09-15,Remortgage for New Borrowers,95,2,5.74,0,207002
Nationwide,2026-09-15,Remortgage for New Borrowers,95,3,5.64,999,206821
Nationwide,2026-09-15,Remortgage for New Borrowers,95,3,5.74,0,207036
Nationwide,2026-09-15,Remortgage for New Borrowers,95,5,5.58,1499,206907
Nationwide,2026-09-15,Remortgage for New Borrowers,95,5,5.63,999,206899
Nationwide,2026-09-15,Remortgage for New Borrowers,95,5,5.73,0,207104
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,2,4.81,999,206759
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,2,5.08,0,206983
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,3,4.79,999,206832
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,3,5.05,0,207047
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,5,4.89,999,206887
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,5,5.04,0,207085
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,10,5.09,999,206946
Nationwide,2026-09-15,Existing Borrowers Rate Switch,60,10,5.19,0,207135
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,2,4.91,999,206760
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,2,5.19,0,206984
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,3,4.9,999,206833
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,3,5.17,0,207048
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,5,4.99,999,206888
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,5,5.08,0,207086
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,10,5.14,999,206947
Nationwide,2026-09-15,Existing Borrowers Rate Switch,75,10,5.29,0,207136
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,2,5.09,999,206761
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,2,5.32,0,206985
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,3,5.14,999,206834
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,3,5.33,0,207049
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,5,5.14,999,206889
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,5,5.24,0,207087
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,10,5.29,999,206948
Nationwide,2026-09-15,Existing Borrowers Rate Switch,80,10,5.54,0,207137
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,2,5.09,999,206762
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,2,5.32,0,206986
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,3,5.17,999,206835
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,3,5.36,0,207050
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,5,5.14,999,206890
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,5,5.24,0,207088
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,10,5.29,999,206949
Nationwide,2026-09-15,Existing Borrowers Rate Switch,85,10,5.54,0,207138
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,2,5.34,999,206763
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,2,5.58,0,206987
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,3,5.37,999,206836
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,3,5.59,0,207051
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,5,5.25,999,206891
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,5,5.38,0,207089
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,10,5.59,999,206950
Nationwide,2026-09-15,Existing Borrowers Rate Switch,90,10,5.79,0,207139
Nationwide,2026-09-15,Existing Borrowers Rate Switch,95,2,5.59,999,206764
Nationwide,2026-09-15,Existing Borrowers Rate Switch,95,2,5.73,0,206988
Nationwide,2026-09-15,Existing Borrowers Rate Switch,95,3,5.62,999,206837
Nationwide,2026-09-15,Existing Borrowers Rate Switch,95,3,5.73,0,207052
Nationwide,2026-09-15,Existing Borrowers Rate Switch,95,5,5.55,999,206892
Nationwide,2026-09-15,Existing Borrowers Rate Switch,95,5,5.6,0,207090
